nomvar,ip1,ip3,usage,origin,pack,date,short_fr_desc,short_en_desc,long_fr_desc,long_en_desc,type,units,precision,min,max,magnitude,value,meaning_fr,meaning_en
WFP,,,current,GDWPS,,2015-04-24,Fréquence pic des vagues,Wave Peak Frequency,,,real,s⁻¹,,,,,,,
WHP0,,,current,GDWPS,,2015-04-24,Hauteur des vagues partitionnée - partition 0,Partitioned wave heights - partition 0,,,real,m,,,,,,,
WHP1,,,current,GDWPS,,2015-04-24,Hauteur des vagues partitionnée - partition 1,Partitioned wave heights - partition 1,,,real,m,,,,,,,
WHP2,,,current,GDWPS,,2015-04-24,Hauteur des vagues partitionnée - partition 2,Partitioned wave heights - partition 2,,,real,m,,,,,,,
WHP3,,,current,GDWPS,,2020-10-30,Hauteur des vagues partitionnée - partition 3,Partitioned wave heights - partition 3,,,real,m,,,,,,,
WLM,,,current,GDWPS,,2015-04-24,Longeur d'onde moyenne,Mean wave length,,,real,m,,,,,,,
WLP0,,,current,GDWPS,,2015-04-24,Longeur d'onde pic partitionnée - partition 0,Partitioned peak wave length - partition 0,,,real,m,,,,,,,
WLP1,,,current,GDWPS,,2015-04-24,Longeur d'onde pic partitionnée - partition 1,Partitioned peak wave length - partition 1,,,real,m,,,,,,,
WLP2,,,current,GDWPS,,2015-04-24,Longeur d'onde pic partitionnée - partition 2,Partitioned peak wave length - partition 2,,,real,m,,,,,,,
WLP3,,,current,GDWPS,,2020-10-30,Longeur d'onde pic partitionnée - partition 3,Partitioned peak wave length - partition 3,,,real,m,,,,,,,
WPD,,,current,GDWPS,,2015-04-24,Direction pic,Peak direction,,,real,deg,,,,,,,
WPF0,,,current,GDWPS,,2015-04-24,Fraction de la partition d'onde - partition 0,Wave Partition fraction - partition 0,,,real,fraction,,0.0,1.0,,,,
WPF1,,,current,GDWPS,,2015-04-24,Fraction de la partition d'onde - partition 1,Wave Partition fraction - partition 1,,,real,fraction,,0.0,1.0,,,,
WPF2,,,current,GDWPS,,2015-04-24,Fraction de la partition d'onde - partition 2,Wave Partition fraction - partition 2,,,real,fraction,,0.0,1.0,,,,
WPF3,,,current,GDWPS,,2020-10-30,Fraction de la partition d'onde - partition 3,Wave Partition fraction - partition 3,,,real,fraction,,0.0,1.0,,,,
CDRG,,,current,RDWPS,,2015-06-08,Coefficient de traînée,Drag coefficient,,,real,nil,,,,,,,
FMWP,,,current,RDWPS,,2015-06-08,Premier moment de la période moyenne des vagues de vent,First moment of the mean wind wave period,,,real,s,,,,,,,
FMSP,,,current,RDWPS,,2015-06-08,Premier moment de la période moyenne de la houle,First moment of the mean swell period,,,real,s,,,,,,,
MSP,,,current,RDWPS,,2015-06-08,Période moyenne de la houle,Mean swell period,,,real,s,,,,,,,
MWP,,,current,RDWPS,,2015-06-08,Période moyenne des vagues de vent,Mean wind wave period,,,real,s,,,,,,,
DSPR,,,current,RDWPS,,2015-06-08,Étendue des directions des vagues,Wave directional spread,,,real,deg,,,,,,,
WSTF,,,current,GDWPS,,2015-04-24,Fraction totale de vagues due aux vents,Total wind sea fraction,,,real,fraction,,0.0,1.0,,,,
WTP,,,current,GDWPS,,2015-04-24,Période pic des vagues,Wave Peak Period,,,real,s,,,,,,,
ETAS,66060288,,current,RDSPS,,2015-05-19,Onde de tempête,Storm surge,L'onde de tempête est la combinaison des effets du baromètre inverse (perturbations dues aux variations de la pression atmosphérique) et de l'ajustement isostatique dû au vent.,The storm surge is the combination of the inverse barometer effect (driven by variations in air pressure) and the wind driven isostatic adjustment.,real,m,,0.0,,,,,
ETAS,0,,current,RDSPS,,2015-05-19,Onde de tempête - non corrigée,Storm surge - unadjusted,Hauteur de l'onde de tempête non corrigée provenant directement du modèle. L'onde de tempête est la combinaison des effets du baromètre inverse (perturbations dues aux variations de la pression atmosphérique) et de l'ajustement isostatique dû au vent.,Unadjusted storm surge height coming directly from the model. The storm surge is the combination of the inverse barometer effect (driven by variations in air pressure) and the wind driven isostatic adjustment.,real,m,,0.0,,,,,
SSHT,,,current,RIOPS/CIOPS,,2019-03-01,Hauteur d'eau tidale,Tidal sea surface height,La contribution isolée des marées sur la hauteur d'eau de mer (elle même relative à un niveau de référence).,The isolated contribution of tides to the sea surface height (e.g. relative to a geoid).,real,m,,-10.0,10.0,,,,
SSHP,,,current,RIOPS/CIOPS,,2019-03-01,Hauteur d'eau du baromètre inverse,Inverse barometer water height,"La pression atmosphérique au niveau de la mer convertie en hauteur d'eau, correspondant à la charge atmosphérique à la surface océanique, souvent exprimée en anomalie par rapport à une pression moyenne.","The air sea level pressure converted to water equivalent height, corresponding to the atmospheric loading on the ocean surface, usually expressed as an anomaly with respect to a mean pressure.",real,m,,-10.0,10.0,,,,
DISC,,,current,WCPS,,2016-06-15,Débit de rivière,Streamflow discharge,Débit moyen sortant du canal de rivière pendant l'heure terminant à la date indiquée,Mean discharge value exiting the river channel over the hour ending at the indicated time,real,m³/s,,0.0,1.0000000000000006e+300,,,,
LZS,,,current,WCPS,,2016-06-15,Réservoir profond,Lower zone storage,L'épaisseur de la couche d'eau contenue dans le réservoir profond,The depth of water contained in the lower zone storage,real,kg/m²,,0.0,,,,,
OVER,,,current,WCPS,,2016-06-15,L'aire du débordement de rivière,X-section area: river overflow,L'aire de la coupe transversale (largeur x hauteur) du débordement du canal de rivière,The cross-sectional area (width x height) of the water overflowing the banks of the river channel,real,m²,,,,,,,
QI1,,,current,WCPS,,2016-06-15,Débit entrant à la fin du pas de temps,Inflow at the end of time-step,Le débit entrant dans le canal de rivière à la fin du pas de temps terminant à la date indiquée,The flow entering the river channel at the end of the time step ending at the indicated time,real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO1,,0,current,WCPS,,2016-06-15,Débit sortant à la fin du pas de temps (valeur finale),Outflow at the end of time-step (final value),"Le débit quittant le canal de rivière à la fin du pas de temps terminant à la date indiquée; ip3=0: valeur finale, après correction potentielle par observation, diversion ou irrigation.","The flow exiting the river channel at the end of the time step ending at the indicated time; ip3=0: final value, after potential correction by observation, diversion or irrigation.",real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO1,,10,current,WCPS,,2016-06-15,Débit sortant à la fin du pas de temps (valeur brute),Outflow at the end of time-step (raw value),"Le débit quittant le canal de rivière à la fin du pas de temps terminant à la date indiquée; ip3=10: valeur simulée brute, avant toute modification par observation, diversion ou irrigation.","The flow exiting the river channel at the end of the time step ending at the indicated time; ip3=10: raw simulated value, before any modification by observation, diversion or irrigation",real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO1,,20,current,DHPS,,2019-06-03,Débit sortant à la fin du pas de temps (prélevé par une diversion),Outflow at the end of time-step (removed by a diversion),Débit sortant à la fin du pas de temps (prélevé par une diversion) terminant à la date indiquée,Outflow at the end of time-step (removed by a diversion) ending at the indicated time,real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO1,,30,current,DHPS,,2019-06-03,Débit sortant à la fin du pas de temps (prélevé pour l'irrigation),Outflow at the end of time-step (removed for irrigation),Débit sortant à la fin du pas de temps (prélevé pour l'irrigation) terminant à la date indiquée,Outflow at the end of time-step (removed for irrigation) ending at the indicated time,real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO2,,0,current,DHPS,,2020-10-30,Débit sortant à la fin du pas de temps (valeur finale),Outflow at the end of the time step (final value),"Le débit quittant le canal de rivière à la fin du pas de temps terminant à la date indiquée, ip3=0: valeur finale, après correction potentielle par observation, diversion ou irrigation","The flow exiting the river channel at the end of the time step ending at the indicated time, ip3=0: final value, after potential correction by observation, diversion or irrigation",real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO2,,10,current,DHPS,,2020-10-30,Débit sortant à la fin du pas de temps (valeur simulée),Outflow at the end of the time step (simulated value),"Le débit quittant le canal de rivière à la fin du pas de temps terminant à la date indiquée, ip3=10: valeur simulée avant la correction potentielle du pas de temps actuel par observation, diversion ou irrigation","The flow exiting the river channel at the end of the time step ending at the indicated time; ip3=10: simulated value before the current time step's potential correction by observation, diversion or irrigation",real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO2,,20,current,DHPS,,2020-10-30,Débit sortant à la fin du pas de temps (prélevé par une diversion),Outflow at the end of the time step (removed by a diversion),Le débit quittant le canal de rivière à la fin du pas de temps (prélevé par une diversion) terminant à la date indiquée,The flow exiting the river at the end of the time step (removed by a diversion) ending at the indicated time,real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO2,,30,current,DHPS,,2020-10-30,Débit sortant à la fin du pas de temps (prélevé pour l'irrigation),Outflow at the end of the time step (removed for irrigation),Débit sortant à la fin du pas de temps (prélevé pour l'irrigation) terminant à la date indiquée,Outflow at the end of the time step (removed for irrigation) ending at the indicated time,real,m³/s,,0.0,1.0000000000000006e+300,,,,
QO2,,40,current,DHPS,,2020-10-30,Débit sortant à la fin du pas de temps (avant propagation amont des données),Outflow at the end of the time step (prior to data upstream propagation),"Le débit quittant le canal de rivière à la fin du pas de temps terminant à la date indiquée: valeur simulée, après correction potentielle par diversion ou irrigation et avant correction par la propagation en amont des observation","The flow exiting the river channel at the end of the time step ending at the indicated time: simulated value, after modification by diversion or irrigation and before modification by upstream propagation of observations",real,m³/s,,0.0,1.0000000000000006e+300,,,,
QI2,,,current,DHPS,,2020-10-30,Débit entrant à la fin du pas de temps,Inflow at the end of time-step,Le débit entrant dans le canal de rivière à la fin du pas de temps terminant à la date indiquée,The flow entering the river channel at the end of the time step ending at the indicated time,real,m³/s,,0.0,1.0000000000000006e+300,,,,
EBFL,,,current,DHPS,,2020-10-30,Drapeau indiquant la fin de la propagation en amont,Flag indicating end of upstream propagation,"Détermine, en utilisant le rapport spécifié des aires de drainage, si un point de grille donné met fin à la propagation en amont de la station en aval.","Determines, using the specified ratio of drainage areas, if a given grid point terminates upstream propagation from the downstream station.",logical,,,,,,"['0', '1']",,"['Propagation upstream from a given station is active', 'Propagation upstream from a given station is inactive']"
STOR,,,current,WCPS,,2016-06-15,L'eau retenue dans le canal,Water stored in the channel,L'eau retenue dans le canal de rivière,The water stored in the river channel,real,m³,,0.0,,,,,
RUNF,,,current,WCPS,,2016-06-15,Apports totaux,Total runoff,"Apports totaux entrant dans un plan d'eau du bassin versant immédiat, distribués sur la surface du plan d'eau ou son bassin versant immédiat.","Total runoff into a body of water from its immediate watershed, distributed over the surface of that body of water or its immediate watershed.",real,mm/day,,0.0,,,,,
PRWM,,,current,WCPS,,2016-06-15,Précipitation moyennée spatialement,Spatially-averaged precipitation,"Précipitation moyennée spatialement sur une région d'intérêt particulière, par exemple une région d'intérêt hydrologique.","Spatially-averaged precipitation over a region of particular interest, for example a region of hydrologic interest.",real,mm/day,,0.0,,,,,
EVWM,,,current,WCPS,,2016-06-15,Évaporation moyennée spatialement,Spatially-averaged evaporation,"Évaporation moyennée spatialement sur une région d'intérêt particulière, par exemple une région d'intérêt hydrologique.","Spatially-averaged evaporation over regions of particular interest, for example regions of hydrologic interest.",real,mm/day,,,,,,,
PRW,,,current,WCPS,,2016-06-15,Flux de précipitation sur l'eau,Precipitation flux over water,Flux de précipitation moyenné temporellement à la surface de l'eau,Precipitation flux temporally averaged over water surface,real,kg/m2/s,,0.0,,,,,
EMW,,,current,WCPS,,2016-06-15,Flux d'eau douce net,Net fresh water flux,Flux d'eau douce vers le haut moyenné temporellement (évaporation - précipitation),Net upward fresh water flux temporally averaged (evaporation - precipitation),real,kg/m2/s,,,,,,,
POL,,,current,SIPI,,2015-04-24,Probabilité d'occurrence de foudre,Probability of lightning occurrences,,,real,%,,0.0,100.0,,,,
POP,,,current,SIPI,,2015-04-24,Probabilité de précipitation,Probability of precipitation,,,real,%,,0.0,100.0,,,,
UR,,,current,SIPI,,2015-04-24,Composante U du vecteur de déplacement des échos radar,U-Component of the Radar echo motion,"Composante U du vecteur de déplacement des échos radar, selon l'axe des X sur la grille","U-Component of the Radar echo motion, along the grid X axis",real,m/s,,0.0,100.0,,,,
VR,,,current,SIPI,,2015-04-24,Composante V du vecteur de déplacement des échos radar,V-Component of the Radar echo motion,"Composante V du vecteur de déplacement des échos radar, selon l'axe des Y sur la grille","V-Component of the Radar echo motion, along the grid Y axis",real,m/s,,0.0,100.0,,,,
UVR,,,current,SIPI,,2015-04-24,Module du déplacement des échos radar,Radar echo motion modulus,,,real,m/s,,0.0,100.0,,,,
++,,,future,,,,Réservé pour usage futur,Reserved for Future Use,,,real,nil,,,,,,,
1A,,,current,,,,Albédo Visible (en Entrée),Visible Albedo (Entry value),,,real,fraction,,0.0,1.0,,,,
1T,,,current,,,,Température de la tropopause,Temperature at the tropopause,,,real,°C,,,,,,,
1P,,,current,,,,Pression à la tropopause,Tropopause pressure,,,real,hPa,,,,,,,
1Z,,,current,,,,Hauteur de la Tropopause,Tropopause height,,,real,km,,,,,,,
2A,,,current,,,,Latitude,Latitude,,,real,deg,,,,,,,
2B,,,current,,,,Longueur de rugosité (en Entrée),Roughness Length (Entry value),,,real,m,,,,,,,
2F,,,current,GEM,,,Fraction de glacier modifée par GEM,Glacier fraction modified by GEM,"La fraction de terre couverte par des glaciers. Dans GEM, 2F est le champ GA legèrement modifié.","Fraction of land covered by glaciers. In GEM, 2F is a slightly modified GA field.",real,fraction,,0.0,1.0,,,,
2Z,,,current,,,,Hauteur de la tropopause (edyntrp-glbdiag),Tropopause height (edyntrp-glbdiag),,,real,ft,,,,1000.0,,,
3A,,,current,,,,Longitude,Longitude,,,real,deg,,,,,,,
3G,,,current,,,,Anomalie de géopotentiel à 500 hPa en 3 classes,500 hPa Geopotential anomaly in 3 classes,,,code,,,,,,"['-1', '0', '1']",,"['Below normal', 'Normal', 'Above normal']"
3N,,,current,,,,Anomalie de pression au niveau de la mer en 3 classes,Mean sea level pressure anomaly in 3 classes,,,code,,,,,,"['-1', '0', '1']",,"['Below normal', 'Normal', 'Above normal']"
3U,,,current,,,,Anomalie de composante U du vent en 3 classes,Wind anomaly (U component) in 3 classes,,,code,,,,,,"['-1', '0', '1']",,"['Below normal', 'Normal', 'Above normal']"
3V,,,current,,,,Anomalie de composante V du vent en 3 classes,Wind anomaly (V component) in 3 classes,,,code,,,,,,"['-1', '0', '1']",,"['Below normal', 'Normal', 'Above normal']"
3Z,,,current,,,,Anomalie d'épaisseur 1000-500 hPa en 3 classes,1000-500 hPa Thickness anomaly in 3 classes,,,code,,,,,,"['-1', '0', '1']",,"['Below normal', 'Normal', 'Above normal']"
3P,,,current,,,,Anomalie de précipitations en 3 classes,Precipitation anomaly in 3 classes,,,code,,,,,,"['-1', '0', '1']",,"['Below normal', 'Normal', 'Above normal']"
3T,,,current,,,,Anomalie de température en 3 classes,Temperature anomaly in 3 classes,,,code,,,,,,"['-1', '0', '1']",,"['Below normal', 'Normal', 'Above normal']"
4A,,,current,,,,Fraction de glace marine continue (en Entrée),Continuous Sea Ice Fraction (Entry value),,,real,fraction,,0.0,1.0,,,,
5A,,,current,,,,Contenu volumétrique du sol en eau (en Entrée),Soil volumetric water content (Entry value),,,real,m³/m³,,,,,,,
5P,,,current,,,,Fraction de grille couvert par la neige,Fraction of grid covered by snow,,,real,fraction,,0.0,1.0,,,,
6A,,,current,,,,Masque Eau/Terre (en Entrée),Water/Land Mask (Entry value),,,real,fraction,,0.0,1.0,,,,
7A,,,current,,,,Profondeur de neige (en Entrée),Snow Depth (Entry value),,,real,cm,,,,,,,
8A,,,current,,,,Température de la mer (SST) (en Entrée),Sea Surface Temperature (SST) (Entry value),,,real,K,,,,,,,
9A,,,current,,,,Température de la surface et du sol (en Entrée),Surface and soil temperatures (Entry value),,,real,K,,,,,,,
A1,,,current,,,,Accumulation des précipitations liquides convectives,Accumulation of convective liquid precipitation,,,real,m,,,,,,,
A2,,,current,,,,Accumulation des précipitations liquides stratiformes,Accumulation of stratiform liquid precipitation,,,real,m,,,,,,,
A3,,,current,,,,Accumulation des précipitations solides convectives,Accumulation of convective solid precipitation,,,real,m,,,,,,,
A4,,,current,,,,Accumulation des précipitations solides stratiformes,Accumulation of stratiform solid precipitation,,,real,m,,,,,,,
AA,,,current,,,,Aérosols d'ammonium (NH4),Ammonium aerosols (NH4),,,real,ppb,,,,,,,
AB,,,current,,,,Flux visible accumulé entrant dans l'atmosphère (IV accumulé),Incoming visible accumulated flux (accumulated IV),,,real,J/m²,,,,,,,
AC,,,current,,,,Concentration de particules ( Diam < 10 Microns),Particulate concentration ( Diam < 10 Microns),,,real,µg/m³,,,,,,,
AD,,,current,,,,Flux I.R accumulé arrivant à la surface (FI accumule),Incoming I.R. accumulated flux (accumulated FI),,,real,J/m²,,,,,,,
AE,,,current,,,,Accumulation Totale des Précipitations Stratiformes,Total Accumulated Stratiform Precipitation,,,real,m,,,,,,,
AF,,,current,,,,Concentration de particules fines (Diam. < 2.5 Microns),Concentration of fine particulate (Diam. < 2.5 Microns),,,real,µg/m³,,,,,,,
AFSD,,,current,cccmarad,,,FSD accumulé,Accumulated FSD,,,real,J/m²,,,,,,,
AFSF,,,current,cccmarad,,,FSF accumulé,Accumulated FSF,,,real,J/m²,,,,,,,
AFSI,,,current,cccmarad,,,FSI accumulé,Accumulated FSI,,,real,J/m²,,,,,,,
AFSV,,,current,cccmarad,,,FSV accumulé,Accumulated FSV,,,real,J/m²,,,,,,,
AG,,,current,,,,Flux accumulé de chaleur dans le sol,Accumulated heat flux in soil,,,real,J/m²,,,,,,,
AH,,,current,,,,Flux accumulé de chaleur sensible en surface (FC accumulé),Surface accumulated sensible heat flux (accumulated FC),,,real,J/m²,,,,,,,
AI,,,current,,,,Flux accumulé d'I.R net en surface (SI accumulé),Surface accumulated net I.R. flux (accumulated SI),,,real,J/m²,,,,,,,
AIRU,,,current,,,,Accumule I.R. vers le haut,Accumulated I.R. up,,,real,J/m²,,,,,,,
AL,1199,,current,,,,Albédo solaire en surface (Sol),Surface solar albedo (Soil),,,real,fraction,,0.0,1.0,,,,
AL,1198,,current,,,,Albédo solaire en surface (Glacier),Surface solar albedo (Glacier),,,real,fraction,,0.0,1.0,,,,
AL,1197,,current,,,,Albédo solaire en surface (Eau),Surface solar albedo (Water),,,real,fraction,,0.0,1.0,,,,
AL,1196,,current,,,,Albédo solaire en surface (Glace Marine),Surface solar albedo (Sea Ice),,,real,fraction,,0.0,1.0,,,,
AL,1195,,current,,,,Albédo solaire en surface (Aggrégée),Surface solar albedo (Aggregated),,,real,fraction,,0.0,1.0,,,,
AL,1194,,current,,,,Albédo solaire en surface (Urbain),Surface solar albedo (Urban),,,real,fraction,,0.0,1.0,,,,
AM,,,current,,,,Ammoniaque gazeux (NH3),Ammonia gas (NH3),,,real,ppb,,,,,,,
AMX,,,current,,,,Mélange de précipitations accumulées (Milbrandt and Yau),Accumulated mixed precipitation (Milbrandt and Yau),,,real,m,,,,,,,
AM1X,,,current,,,,ammonium 2.5µm (espèces CAM),ammonium fine (2.5µm) (CAM species),,,real,µg/m³,,,,,,,
AM2X,,,current,,,,ammonium 10µm (espèces CAM),ammonium coarse (10µm) (CAM species),,,real,µg/m³,,,,,,,
AN,,,current,,,,Albedo du aux nuages,Cloud albedo,,,real,fraction,,0.0,1.0,,,,
AO,,,current,,,,Aérosols organiques,Organic aerosols,,,real,ppb,,,,,,,
AQHI,,,current,,,,Cote air santé,Air quality health index,,,real,nil,,,,,,,
AP,,,current,,,,Albedo planétaire,Planetary albedo,,,real,fraction,,0.0,1.0,,,,
APAR,,,current,cccmarad,,,PARR accumulé,Accumulated PARR,,,real,J/m²,,,,,,,
AR,,,current,,,,Flux I.R Sortant de l'atmosphere,Outgoing I.R. flux,,,real,J/m²,,,,,,,
AS,,,current,,,,Flux visible absorbé en surface (FS accumulé),Visible flux absorbed at surface (Accumulated FS),,,real,J/m²,,,,,,,
ASG,,,current,,,,"Accumulation de la grêle, grid-scale cond (Milbrandt and Yau)","Accumulation of graupel, grid-scale cond (Milbrandt and Yau)",,,real,m,,,,,,,
ASH,,,current,,,,"Accumulation du grésil, grid-scale cond (Milbrandt and Yau)","Accumulation of hail, grid-scale cond (Milbrandt and Yau)",,,real,m,,,,,,,
ASN,,,current,,,,"Accumulation de la neige, grid-scale cond (Milbrandt and Yau)","Accumulation of snow, grid-scale cond (Milbrandt and Yau)",,,real,m,,,,,,,
AU,,,current,,,,Flux visible accumulé sortant de l'atmosphere (EV accumulé),Outgoing accumulated visible flux (accumulated EV),,,real,J/m²,,,,,,,
AV,,,current,,,,Flux accumulé de chaleur latente en surface (FV accumulé),Accumulated surface flux of latent heat (accumulated FV),,,real,J/m²,,,,,,,
AW,,,current,,,,Flux accumulé de quantité de mouvement en surface (FQ accumulé),Accumulated surface momentum flux (accumulated FQ),,,real,Pa*s,,,,,,,
B5,1199,,current,GEM,,2014-06-26,Vitesse de frottement (Sol),Friction velocity (Soil),"Semblable à UE mais UE est calc. à la fin de la diffusion verticale, tandis que B5 est calc. dans les schémas de surface",,real,m/s,,,,,,,
B5,1198,,current,GEM,,2014-06-26,Vitesse de frottement (Glacier),Friction velocity (Glacier),"Semblable à UE mais UE est calc. à la fin de la diffusion verticale, tandis que B5 est calc. dans les schémas de surface",,real,m/s,,,,,,,
B5,1197,,current,GEM,,2014-06-26,Vitesse de frottement (Eau),Friction velocity (Water),"Semblable à UE mais UE est calc. à la fin de la diffusion verticale, tandis que B5 est calc. dans les schémas de surface",,real,m/s,,,,,,,
B5,1196,,current,GEM,,2014-06-26,Vitesse de frottement (Glace Marine),Friction velocity (Sea Ice),"Semblable à UE mais UE est calc. à la fin de la diffusion verticale, tandis que B5 est calc. dans les schémas de surface",,real,m/s,,,,,,,
B5,1195,,current,GEM,,2014-06-26,Vitesse de frottement (Aggrégée),Friction velocity (Aggregated),"Semblable à UE mais UE est calc. à la fin de la diffusion verticale, tandis que B5 est calc. dans les schémas de surface",,real,m/s,,,,,,,
B5,1194,,current,GEM,,2014-06-26,Vitesse de frottement (Urbain},Friction velocity (Urban),"Semblable à UE mais UE est calc. à la fin de la diffusion verticale, tandis que B5 est calc. dans les schémas de surface",,real,m/s,,,,,,,
QTBL,,,current,GEM,,2018-05-15,Condensat nuageux de la CLP,PBL cloud condensate,Condensat nuageux sous-maille (implicite) de la couche-limite planetaire,Boundary layer subgrid-scale (implicit) cloud condensate,real,kg/kg,,,,,,,
BE,,,current,,,,Énergie de convection,Buoyant energy,,,real,J/kg,,,,,,,
BI,,,current,,,,Indice de sévérité des orages (SSI),Severe storm index (SSI),,,real,nil,,0.0,150.0,,,,
BH,,,current,,,,Hauteur de la couche limite ( cas stable ),Top of boundary layer ( stable case ),,,real,m,,,,,,,
BN,,,current,,,,Hauteur de la couche de mélange à Tmin,Height of mixing layer at Tmin,,,real,m,,,,,,,
BOVS,,,current,SPOOKI,,2013-05-24,Booléen pour le niveau de congélation,Boolean for freezing levels,"['Booléen indiquant si le niveau le plus bas est un niveau de congélation', 'Boolean indicating if the lowest level is a freezing level']",,logical,,,,,,"['0', '1']",,"['No', 'Yes']"
ECTT,,,current,,,2019-03-01,Température effective au sommet des nuages,Effective cloud top temperature,,,real,K,,,,,,,
ECTP,,,current,,,2019-03-01,Pression effective au sommet des nuages,Effective cloud top pressure,,,real,Pa,,,,,,,
BP,,,deprecated,,,2019-03-01,Pression au sommet des nuages,Cloud top pressure,,,real,Pa,,,,,,,
BPNO,,,current,,,,Emissions de monoxyde d'azote biogènes après BEIS3,Nitrogen monoxide biogenic emission after BEIS3,,,real,g,,,,,,,
BR,,,current,,,,Réflectivité radar de base,Radar base reflectivity,,,real,dBZ,,,,,,,
BS,,,current,CMDW,,,Cisaillement vertical du vent,Vertical wind shear,,,real,1/s,,,,0.001,,,
BV,,,current,,,,Vitesse radar de base,Radar base velocity,,,real,m/s,,,,,,,
BX,,,current,,,,Hauteur de la couche de mélange à Tmax,Height of mixing layer at Tmax,,,real,m,,,,,,,
BY,,,current,,,,Information sur les bouées,Buoy information,,,real,nil,,,,,,,
C0,,,current,,,,Premier niveau de congélation,First freezing level,,,real,ft,,,,,,,
C1,,,current,,,,Second niveau de congélation,Second freezing level,,,real,ft,,,,,,,
C2,,,current,,,,Troisième niveau de congélation,Third freezing level,,,real,ft,,,,,,,
C3,,,current,,,,Aérosols de carbonate (C03--),Carbonate aerosols (C03--),,,real,ppb,,,,,,,
CA,,,current,,,,Aérosols de calcium (CA++),Calcium aerosols (CA++),,,real,ppb,,,,,,,
ABE,,,current,SPOOKI,,2019-08-15,Énergie de convection disponible,Available bouyant energy,,,real,J kg⁻¹,,0.0,10000.0,,,,
CAPE,,,current,SPOOKI,,2013-05-24,Énergie potentielle de convection disponible,Convective available potential energy,,,real,J kg⁻¹,,0.0,10000.0,,,,
CC,,,current,,,,Potentiel de vitesse,Velocity potential,,,real,m²/s,,,,,,,
CD,,,current,,,,Epaisseur entre les niveaux de Congélation C2-C1,Thickness between C2-C1 freezing layers,,,real,ft,,,,,,,
CF,,,current,,,,Nuage total,Total cloud,,,real,fraction,,0.0,1.0,,,,
CFIA,,,current,,,,Indice de confiance de l'analyse CAPA,Confidence Index of Analysis CAPA,,,real,nil,,0.0,1.0,,,,
CH,,,current,,,,Coefficient de transfert de la chaleur et l'humidité,Heat and moisture transfer coefficient,Coefficient de transfert de la chaleur et l'humidité dans le modèle GEM (diagnostique pour les modèles de la qualité de l'air),Heat and moisture transfer coefficient in the GEM model (diagnostic for air quality models),real,m/s,,,,,,,
CI,,,current,,,,Ion calcium en solution (CA++),Calcium ion in solution (CA++),,,real,ppb,,,,,,,
CINH,,,current,SPOOKI,,2013-05-24,Énergie d'inhibition de la convection,Convective inhibition,,,real,J kg⁻¹,,-1000.0,0.0,,,,
CIEL,,,current,CMDM,,2018-10-10,État du ciel,Sky state,,,code,,,,,,"['[0,1.5]', '[1.5,3.5]', '[3.5,6.5]', '[6.5,8.5]', '[8.5,9.5]', '[9.5,10]']",,"['Sunny / Clear', 'Mainly sunny / Cloudy periods', 'Mix of sun and clouds / Partly cloudy', 'Mainly cloudy', 'Cloudy', 'Cloudy / Overcast']"
SLX,,,current,CMDM,,2018-10-10,Indice de pente,Slope Index,Vitesse du vent multiplié par le gradient topographique,Wind speed multiplied by the topographic gradient,real,m s⁻¹,,,,,,,
SHRS,,,deprecated,CMDM,,2020-02-15,Présence d'averses,Presence of showers,,,code,,,,,,"['0', '1']",,"['No', 'Yes']"
CPR,,,current,CMDM,,2020-02-15,Caractère des précipitations,Character of precipitation,,,code,,,,,,"['0', '1', '2', '3']","['Aucune', 'Averses', 'Intermittent', 'Continue']","['None', 'Showers', 'Intermittent', 'Continuous']"
BLSN,,,current,CMDM,,2018-10-10,Présence de poudrerie,Presence of blowing snow,,,code,,,,,,"['0', '1']",,"['No', 'Yes']"
BLZD,,,current,CMDM,,2018-10-10,Présence d'un blizzard,Presence of a blizzard,,,code,,,,,,"['0', '1']",,"['No', 'Yes']"
PELR,,,current,CMDM,,2018-10-10,Quantité de grésil tombé exprimé sous forme d'épaisseur,Fallen ice pellets (amount expressed as a thickness),,,real,m,,,,,,,
SNQP,,,current,CMDM,,2018-10-10,Probabilité de bourrasques de neige,Probability of snow squalls,,,real,%,,0.0,100.0,,,,
FR1P,,,current,CMDM,,2018-10-10,Probabilité de bruine verglaçante,Probability of freezing drizzle,,,real,%,,0.0,100.0,,,,
FR2P,,,current,CMDM,,2018-10-10,Probabilité de pluie verglaçante,Probability of freezing rain,,,real,%,,0.0,100.0,,,,
FRTP,,,current,CMDM,,2020-02-15,Probabilité de précipitations verglaçantes,Probability of freezing precipitation,,,real,%,,0.0,100.0,,,,
PEP,,,current,CMDM,,2018-10-10,Probabilité de grésil,Probability of ice pellets,,,real,%,,0.0,100.0,,,,
PE2P,,,current,CMDM,,2018-10-10,Probabilité de grêle,Probability of hail,,,real,%,,0.0,100.0,,,,
